Minutes,Balls faced,Runs
363,267,95
177,149,84
24,21,8
31,23,7
120,73,27
55,41,2
69,48,12
541,362,148
208,146,81
202,149,43
161,141,51
268,182,57
372,243,78
36,21,2
133,106,37
380,295,92
250,197,69
18,9,2
67,46,6
423,300,118
191,115,44
8,6,0
102,77,28
490,354,190
163,136,103
314,218,107
166,126,35
29,16,6
55,36,9
160,109,14
102,74,29
9,7,0
71,48,28
50,49,41
118,67,44
173,115,68
100,79,26
42,28,12
219,172,61
33,19,15
184,123,75
129,85,36
152,124,36
15,10,2
20,17,11
16,11,2
312,241,87
436,345,144
224,147,67
91,62,36
79,47,17
94,61,14
378,291,91
12,11,5
79,58,30
238,162,46
153,112,63
74,43,13
338,244,115
429,307,148
629,468,217
244,173,76
22,14,7
86,56,9
154,100,39
14,11,1
66,47,43
594,446,233
241,170,72
105,89,49
332,244,92
119,82,38
166,114,91
12,10,6
123,72,33
3,0,0
740,495,270
12,7,0
387,304,160
147,117,77
337,237,98
332,233,128
342,220,103
28,31,5
20,12,3
2,4,2
249,173,49
274,177,62
344,234,146
64,46,22
168,131,68
340,215,81
257,166,68
151,83,32
16,9,1
43,23,11
34,25,5
63,58,29
204,134,47
154,99,61
19,11,2
215,176,129
15,12,2
18,12,9
136,94,37
45,28,11
131,101,55
140,96,12
103,66,5
154,114,16
240,160,53
152,103,38
278,183,93
5,5,3
73,55,18
98,64,11
55,35,14
41,30,10
7,6,2
133,92,44
52,29,10
226,166,68
182,138,66
23,14,8
282,206,83
242,220,62
182,114,35
187,145,60
17,10,4
56,50,24
257,188,111
64,33,18
209,152,44
19,18,3
34,26,23
32,22,7
61,42,14
159,109,43
121,68,25
17,7,2
21,16,5
149,112,31
106,67,40
402,274,112
35,21,5
219,171,55
13,11,5
142,89,34
330,220,103
150,93,36
371,235,117
15,12,6
111,68,22
65,39,18
378,266,146
56,32,13
249,187,68
59,29,10
42,33,5
100,73,29
40,35,9
177,114,47
8,9,1
95,71,25
